name,field_name
far,ov_far
vmt,ov_vmthday
percent_transit,ov_pcttran
parking_acres,ov_prkac
employment10,ov_emp10
tax_revenue,ex_taxrev
households10,ov_hh10
vehicle_perhousehold,ov_vehphh
transit_commutingmiles,ov_trnpcmi
ghg,ov_ghg
development_intensity,intntot
development_mix,ov_mix
residential_density,hupac
employment_density,ov_empden
establishments,ov_est_10
assessed_value,ov_aval
renter_occupied,ov_rentocc
nocar_households,ov_hhnocar
education_attainment,ov_ed_att
walkscore,walkscore
commercial_pipeline,ov_emppipe
residential_pipeline,ov_hupipe
