id,name,DK_STATNAM,location,etod_q0car,etod_q25k,etod_qabc,etod_qaff,etod_qdens,etod_qgrav,etod_qrent,etod_qtas,etod_qtci,etod_qwalk,etod_sub1t,etod_sub2o,etod_sub3d,etod_total,etod_type,station_class,created_at,updated_at
1,RESERVOIR,Reservoir Station,,4,2,4,4,4,3,4,3,4,4,11,14,11,36,Transit-Supportive,Subway,2014-03-14 18:40:00.000000,2014-03-14 18:40:00.000000
2,BRAINTREE,Braintree Station Red Line Platform,,1,1,1,2,1,2,2,2,2,3,5,6,6,17,Transit-Adjacent,Town Center,2014-03-15 18:40:00.000000,2014-03-15 18:40:00.000000
3,ASHMONT,Ashmont Station,,3,3,3,3,4,3,3,4,3,2,10,12,9,31,Transit-Supportive,Subway,2014-03-16 18:40:00.000000,2014-03-16 18:40:00.000000
4,ORIENT HEIGHTS,Orient Heigts Station,,3,3,4,3,3,3,3,3,2,3,9,12,9,30,Transit-Related,Subway,2014-03-17 18:40:00.000000,2014-03-17 18:40:00.000000
5,ALEWIFE,Alewife Station Red Line,,3,4,3,3,3,3,4,5,3,3,11,14,9,34,Transit-Supportive,Subway Transformational,2014-03-18 18:40:00.000000,2014-03-18 18:40:00.000000
6,PORTER,Porter Sq,,3,2,4,4,5,4,3,4,4,4,12,12,13,37,Transit-Supportive,Subway,2014-03-19 18:40:00.000000,2014-03-19 18:40:00.000000
7,HARVARD,Harvard Station,,5,5,5,5,4,4,5,5,4,5,14,20,13,47,Transit-Oriented,Core,2014-03-20 18:40:00.000000,2014-03-20 18:40:00.000000
8,CENTRAL,Central Sq,,4,3,4,5,5,5,4,3,4,5,11,16,15,42,Transit-Oriented,Subway,2014-03-21 18:40:00.000000,2014-03-21 18:40:00.000000
9,KENDALL/MIT,Kendall/MIT Station,,4,4,5,5,3,5,5,3,4,4,12,18,12,42,Transit-Oriented,Core,2014-03-22 18:40:00.000000,2014-03-22 18:40:00.000000
10,CHARLES/MGH,Charles/MGH Station,,5,2,5,5,5,5,4,5,5,4,15,16,14,45,Transit-Oriented,Core,2014-03-23 18:40:00.000000,2014-03-23 18:40:00.000000
11,SAVIN HILL,Savin Hill Station,,3,4,3,3,3,3,3,2,3,4,8,13,10,31,Transit-Supportive,Subway,2014-03-24 18:40:00.000000,2014-03-24 18:40:00.000000
12,SHAWMUT,Shawmut Station,,4,4,3,3,4,3,3,3,3,2,9,14,9,32,Transit-Supportive,Subway,2014-03-25 18:40:00.000000,2014-03-25 18:40:00.000000
13,QUINCY ADAMS,Quincy Adams Station,,2,2,2,2,2,2,2,2,2,2,6,8,6,20,Transit-Adjacent,Sub Emp Center,2014-03-26 18:40:00.000000,2014-03-26 18:40:00.000000
14,QUINCY CENTER,Quincy Center Station,,3,4,3,2,3,2,3,3,2,4,8,12,9,29,Transit-Related,Urban Downtown,2014-03-27 18:40:00.000000,2014-03-27 18:40:00.000000
15,WOLLASTON,Wollaston Station,,3,3,3,2,3,2,2,2,2,3,7,10,8,25,Transit-Related,Subway,2014-03-28 18:40:00.000000,2014-03-28 18:40:00.000000
16,NORTH QUINCY,North Quincy Station,,2,2,3,2,3,2,2,2,2,2,7,8,7,22,Transit-Related,Subway,2014-03-29 18:40:00.000000,2014-03-29 18:40:00.000000
17,FIELDS CORNER,Fields Corner Station,,4,5,3,3,4,3,3,3,3,3,9,15,10,34,Transit-Supportive,Subway,2014-03-30 18:40:00.000000,2014-03-30 18:40:00.000000
18,ANDREW,Andrew Sq Station,,4,5,4,5,3,4,4,4,4,4,12,18,11,41,Transit-Oriented,Subway,2014-03-31 18:40:00.000000,2014-03-31 18:40:00.000000
19,BROADWAY,Broadway Station,,4,5,4,5,3,5,3,5,4,2,13,17,10,40,Transit-Supportive,Subway Transformational,2014-04-01 18:40:00.000000,2014-04-01 18:40:00.000000
20,CEDAR GROVE,Cedar Grove,,3,3,2,3,3,2,2,3,3,3,8,11,8,27,Transit-Related,Subway,2014-04-02 18:40:00.000000,2014-04-02 18:40:00.000000
21,CAPEN STREET,Capen St,,2,3,2,2,2,2,2,3,3,1,8,9,5,22,Transit-Related,Trolley,2014-04-03 18:40:00.000000,2014-04-03 18:40:00.000000
22,VALLEY ROAD,Valley Rd,,2,3,2,2,2,2,2,3,3,1,8,9,5,22,Transit-Related,Trolley,2014-04-04 18:40:00.000000,2014-04-04 18:40:00.000000
23,CENTRAL AVENUE,Central Ave,,2,3,2,3,2,2,2,2,3,3,7,10,7,24,Transit-Related,Trolley,2014-04-05 18:40:00.000000,2014-04-05 18:40:00.000000
24,MILTON,Milton Station,,3,3,3,2,2,2,2,3,3,4,9,10,8,27,Transit-Related,Trolley,2014-04-06 18:40:00.000000,2014-04-06 18:40:00.000000
25,BUTLER,Butler Station,,3,4,3,2,2,2,3,3,3,2,9,12,6,27,Transit-Related,Trolley,2014-04-07 18:40:00.000000,2014-04-07 18:40:00.000000
26,MATTAPAN,Mattapan Station,,3,3,2,3,3,2,2,5,3,2,10,11,7,28,Transit-Related,Subway,2014-04-08 18:40:00.000000,2014-04-08 18:40:00.000000
27,JFK/UMASS,JFK/UMASS Ashmont Line Inbound,,4,5,3,4,4,4,4,2,3,3,8,17,11,36,Transit-Supportive,Subway,2014-04-09 18:40:00.000000,2014-04-09 18:40:00.000000
28,WOOD ISLAND,Wood Island Station,,4,3,3,3,3,3,4,2,3,2,8,14,8,30,Transit-Related,Subway,2014-04-10 18:40:00.000000,2014-04-10 18:40:00.000000
29,SUFFOLK DOWNS,Suffolk Downs Station,,3,2,4,2,2,3,2,3,2,1,9,9,6,24,Transit-Related,Subway Transformational,2014-04-11 18:40:00.000000,2014-04-11 18:40:00.000000
30,BEACHMONT,Beachmont Station,,3,3,3,3,3,2,3,2,2,1,7,12,6,25,Transit-Related,Subway,2014-04-12 18:40:00.000000,2014-04-12 18:40:00.000000
31,REVERE BEACH,Revere Beach Station,,3,4,3,3,3,2,4,2,3,1,8,14,6,28,Transit-Related,Subway,2014-04-13 18:40:00.000000,2014-04-13 18:40:00.000000
32,WONDERLAND,Wonderland Station - Blue Line,,3,5,3,3,3,2,3,3,2,2,8,14,7,29,Transit-Related,Subway Transformational,2014-04-14 18:40:00.000000,2014-04-14 18:40:00.000000
33,AIRPORT,Airport Station,,4,3,4,4,4,4,4,3,3,3,10,15,11,36,Transit-Supportive,Other,2014-04-15 18:40:00.000000,2014-04-15 18:40:00.000000
34,MAVERICK,Maverick Station,,5,4,5,5,5,4,5,2,3,3,10,19,12,41,Transit-Oriented,Subway,2014-04-16 18:40:00.000000,2014-04-16 18:40:00.000000
35,AQUARIUM,Aquarium Station,,5,2,5,5,5,5,4,5,5,5,15,16,15,46,Transit-Oriented,Core,2014-04-17 18:40:00.000000,2014-04-17 18:40:00.000000
36,BOWDOIN,Bowdoin Station Blue Line,,5,3,5,5,5,5,4,5,5,5,15,17,15,47,Transit-Oriented,Core,2014-04-18 18:40:00.000000,2014-04-18 18:40:00.000000
37,FOREST HILLS,Forest Hills Orange Line,,3,3,4,3,2,3,3,5,3,2,12,12,7,31,Transit-Supportive,Subway,2014-04-19 18:40:00.000000,2014-04-19 18:40:00.000000
38,GREEN STREET,ZZZGreen St (Orange Line),,3,2,4,3,4,3,2,3,3,3,10,10,10,30,Transit-Related,Subway,2014-04-20 18:40:00.000000,2014-04-20 18:40:00.000000
39,ROXBURY CROSSING,Roxbury Xng,,5,5,5,3,4,4,5,5,5,4,15,18,12,45,Transit-Oriented,Subway,2014-04-21 18:40:00.000000,2014-04-21 18:40:00.000000
40,SULLIVAN SQUARE,Sullivan Station,,4,4,3,4,3,4,3,5,3,4,11,15,11,37,Transit-Supportive,Subway Transformational,2014-04-22 18:40:00.000000,2014-04-22 18:40:00.000000
41,OAK GROVE,Oak Grove Station - Orange Line,,3,3,3,3,3,3,3,2,2,1,7,12,7,26,Transit-Related,Subway,2014-04-23 18:40:00.000000,2014-04-23 18:40:00.000000
42,MALDEN CENTER,Malden Station,,3,3,3,3,4,3,4,3,3,3,9,13,10,32,Transit-Supportive,Urban Downtown,2014-04-24 18:40:00.000000,2014-04-24 18:40:00.000000
43,WELLINGTON,Wellington Station,,2,2,2,2,2,3,3,5,3,2,10,9,7,26,Transit-Related,Subway Transformational,2014-04-25 18:40:00.000000,2014-04-25 18:40:00.000000
44,COMMUNITY COLLEGE,Community College,,2,2,3,5,3,5,2,5,4,3,12,11,11,34,Transit-Supportive,Subway,2014-04-26 18:40:00.000000,2014-04-26 18:40:00.000000
45,TUFTS MEDICAL CENTER,Washington St @ Tufts Med Ctr,,5,5,5,5,5,5,4,5,5,5,15,19,15,49,Transit-Oriented,Core,2014-04-27 18:40:00.000000,2014-04-27 18:40:00.000000
46,BACK BAY,Back Bay Station,,4,3,5,5,5,5,3,5,5,5,15,15,15,45,Transit-Oriented,Core,2014-04-28 18:40:00.000000,2014-04-28 18:40:00.000000
47,MASSACHUSETTS AVE,Massachusetts Ave Station,,5,5,5,5,5,5,5,5,5,5,15,20,15,50,Transit-Oriented,Core,2014-04-29 18:40:00.000000,2014-04-29 18:40:00.000000
48,RUGGLES,Ruggles Station,,5,5,5,4,4,5,5,5,5,4,15,19,13,47,Transit-Oriented,Core,2014-04-30 18:40:00.000000,2014-04-30 18:40:00.000000
49,JACKSON SQUARE,Jackson Sq,,4,5,4,3,4,4,4,3,5,2,12,16,10,38,Transit-Supportive,Subway,2014-05-01 18:40:00.000000,2014-05-01 18:40:00.000000
50,STONY BROOK,Stoneybrook,,3,4,4,3,4,4,4,3,4,2,11,14,10,35,Transit-Supportive,Subway,2014-05-02 18:40:00.000000,2014-05-02 18:40:00.000000
51,RIVERSIDE,Riverside Station,,2,1,3,2,1,2,2,4,2,1,9,7,4,20,Transit-Adjacent,Trolley,2014-05-03 18:40:00.000000,2014-05-03 18:40:00.000000
52,WOODLAND,Woodland Station,,2,1,2,2,1,2,2,3,2,1,7,7,4,18,Transit-Adjacent,Trolley,2014-05-04 18:40:00.000000,2014-05-04 18:40:00.000000
53,WABAN,Waban Station,,2,1,1,2,1,2,1,3,2,2,6,6,5,17,Transit-Adjacent,Trolley,2014-05-05 18:40:00.000000,2014-05-05 18:40:00.000000
54,ELIOT,Eliot Station,,1,1,2,2,2,3,1,3,2,2,7,5,7,19,Transit-Adjacent,Trolley,2014-05-06 18:40:00.000000,2014-05-06 18:40:00.000000
55,NEWTON HIGHLANDS,Newton Highlands Station,,1,1,2,2,2,3,1,2,2,2,6,5,7,18,Transit-Adjacent,Trolley,2014-05-07 18:40:00.000000,2014-05-07 18:40:00.000000
