STN_ID,STN_NAME,MUNI,MUNI_ID,Latitude,Longitude,COMM_TYP,COMTYP_DES,SUBCOM_TYP,SUBCOM_DES,STN_CLASS,OV_AREA,EX_AREA,EX_AVAL,OV_AVAL,OV_COMAC,EX_COMAC,OV_COMPC,OV_COMPRK,EX_COMPRK,OV_DVOTHAC,EX_DVOTHAC,OV_DVOTHPC,OV_DVOTPRK,EX_DVOTPRK,OV_ED_ATT,OV_EMP10,EX_EMP10,OV_EMPCONS,EX_EMPCONS,OV_EMPDEN,OV_EMPPLAN,EX_EMPPLAN,OV_EST_10,EX_EST_10,OV_FAR,OV_GHG,ex_ghg,OV_HH10,EX_HH10,OV_HHNOCAR,OV_HHINC,OV_HRESAC,EX_HRESAC,OV_HRESPC,OV_HRSPKAC,EX_HRSPKAC,OV_HU10,EX_HU10,OV_HU_0010,EX_HU_0010,OV_HUCONS,EX_HUCONS,OV_HUPAC,OV_HUPLAN,EX_HUPLAN,OV_INTNPAC,OV_INTNTOT,OV_JOBACC,OV_LRESAC,EX_LRESAC,OV_LRESPC,OV_MIX,OV_PCT_ABC,OV_PCTTRAN,OV_POP_0010,EX_POP_0010,OV_POP10,EX_POP10,EX_PRKAC,OV_PRKAC,OV_PRKPC,OV_RENTOCC,OV_RESPC,OV_TAXREV,EX_TAXREV,OV_TRNPCMI,OV_VACDVAC,EX_VACDVAC,OV_VACDVPC,OV_VACUNAC,OV_VACUNPC,OV_VEHpHH,OV_VMTHDAY,Phase,MAPC,WALKSCORE,eTOD_q0CAR,eTOD_q25K,eTOD_qABC,eTOD_qAFF,eTOD_qDENS,eTOD_qGRAV,eTOD_qRENT,eTOD_qTAS,eTOD_qTCI,eTOD_qWALK,eTOD_SUB1T,eTOD_SUB2O,eTOD_SUB3D,eTOD_TOTAL,eTOD_TYPE,created_at,updated_at,LINE_DESCR,OV_EMPPIPE,EX_EMPPIPE,OV_HUPIPE,EX_HUPIPE
1,RESERVOIR,BROOKLINE,46,42.3350448,-71.14872408,1,Inner Core,3,Streetcar Suburbs,Neighborhood Subway ,502.582231,154.764456,483106826.2,2401755750,56.33854985,5.721627,0.112098173,8.921938014,0.879943702,70.20040324,6.748504,0.139679437,0.460937657,0.347701641,0.750462812,2113,199,0,0,16.69841538,0,0,266,28,0.479740394,54.3,0,6778,510.32,0.339473,77511.71429,251.8546158,66.697444,0.50112121,8.493306379,1.13100169,6708.57735,523.51,-289.70265,116.25,0,0,22.077824,92,0,34.61819666,15029.84633,46481.1,55.76672195,25.894117,0.110960393,0.140587,0.496149,0.396264,-489.71367,299.54,12916.84633,1324.31942,2.435989382,18.53342751,0.036876408,0.673468053,0.604601,27403488.67,5216725.843,0.124981335,17.40975122,2.859224,0.034640602,51.01218895,0.101500184,0.687568139,17.07193131,Existing,1,81.37710433,4,2,4,4,4,3,4,3,4,4,11,14,11,36,Transit-Supportive,6/19/2014 20:00,6/20/2014 20:00,Green Line,0,0,92,0
2,BRAINTREE STATION,BRAINTREE,40,42.20749693,-71.00154932,3,Maturing Suburbs,4,Mature Suburban Towns,Town & Village,502.574144,502.574144,464999926.8,464999926.8,138.1123837,108.229714,0.274809967,52.09776657,52.09776599,78.40760261,48.221684,0.15601201,5.922677174,5.922677167,0.476585617,3072,3072,0,0,14.18806666,0,0,255,275,0.197693771,20.6,0,1037,1037.37,0.060465,80026.8,90.45610233,65.109567,0.179985587,2.012919783,2.012920086,1079.86051,1090.92,-49.79949,-6.44,0,0,6.602081,0,0,14.47796798,5594.29306,16710.48,79.42434172,58.260071,0.158035073,0.549131,0.159538,0.1406,-93.90694,-77.98,2522.29306,2522.29306,61.76576057,61.76576049,0.122898803,0.397264242,0.325453,5456741.475,5456741.475,0.021507935,59.98714639,51.856601,0.119359794,56.18656717,0.111797568,1.433074024,37.72132442,Existing,1,70.6969697,1,1,1,2,1,2,2,2,2,3,5,6,6,17,Transit-Adjacent,1/2/2015 20:00,1/3/2015 20:00,Red Line,0,0,0,0
3,ASHMONT,BOSTON,35,42.28439614,-71.063626,1,Inner Core,1,Metropolitan Core Communities,Neighborhood Subway ,502.5773484,293.671731,686445399.6,1057237144,79.43172139,35.179829,0.158048749,11.50254784,5.227419737,31.78539428,5.62966,0.063244781,2.540954673,1.337288624,0.343850217,3875,937,0,0,34.84175953,0,0,358,163,0.711595565,64.4,0,5191,3367.57,0.243199,53498.5,365.5843416,175.53178,0.727419059,1.624822302,0.993622241,5403.4431,3610.82,11.0431,241.62,111,111,14.703759,85,85,35.32079567,16975.42184,31896.55,3.805548201,2.713051,0.007572065,0.228271,0.343378,0.293494,-1263.27816,-652.24,13100.42184,8301.82083,7.649683718,15.76071313,0.031359776,0.569760501,0.731208,13613169.05,8229574.353,0.079364088,9.056803343,1.874518,0.018020715,12.91353954,0.025694631,0.942246175,23.70546518,Existing,1,74.05902779,3,3,3,3,4,3,3,4,3,2,10,12,9,31,Transit-Supportive,11/25/2014 20:00,11/26/2014 20:00,"Red Line, Mattapan High-Speed Line",0,0,196,196
4,ORIENT HEIGHTS,BOSTON,35,42.38728436,-71.00346268,1,Inner Core,1,Metropolitan Core Communities,Neighborhood Subway ,431.762648,306.329072,416454109.2,505634914.2,36.06839459,20.930217,0.083537552,8.308128639,7.760272206,105.6154668,19.251768,0.244614645,27.39211623,7.657127516,0.26565008,2015,1149,0,0,14.22180325,0,0,150,125,0.31966553,29.9,0,2300,2047.3,0.243117,22853.5,190.0231373,122.052775,0.440110181,6.351294806,6.037592485,2610.54414,2195.41,157.11414,70.9,0,0,13.761026,42,42,25.79082285,8597.89478,31634.47,1.663317994,0.718168,0.00385239,0.23436,0.517675,0.486646,516.60478,86.76,6582.89478,6044.43692,21.92563987,42.63420912,0.098744551,0.635913372,0.439377,6231918.621,5133500.447,0.285304542,25.19053092,15.342593,0.05834347,73.20180037,0.169541763,1.022198008,24.80423126,Existing,1,59.77380943,3,3,4,3,3,3,3,3,2,3,9,12,9,30,Transit-Related,11/29/2014 20:00,11/30/2014 20:00,Blue Line,0,0,42,42
5,ALEWIFE,CAMBRIDGE,49,42.39616603,-71.14207862,1,Inner Core,1,Metropolitan Core Communities,Transformational Subway,502.5741375,502.574144,1485556572,1485556572,197.5521524,161.098434,0.393080618,75.40247549,75.4024837,63.05730366,28.753212,0.12546866,6.699548407,6.699548426,0.701899492,6090,6090,0,0,23.36830018,0,0,254,277,0.392864398,34.9,0,3069,3068.9,0.200854,66002.2,151.6859392,113.452489,0.301818036,11.44149071,11.44149031,2764.30119,3172.07,199.05119,668.05,571,571,18.603766,1019,1019,30.41809999,12541.24256,36128.87,0,0,0,0.485598,0.369392,0.290423,363.83256,1120.04,6451.24256,6451.24256,93.66210455,93.66209644,0.186364734,0.689260006,0.295656,17858419.97,17858419.97,0.074114265,61.43211615,16.309867,0.122234933,28.84662605,0.057397753,0.966440907,23.01317457,Existing,1,74.73263896,3,4,3,3,3,3,4,5,3,3,11,14,9,34,Transit-Supportive,10/2/2014 20:00,10/3/2014 20:00,Red Line,0,0,1590,1590
6,PORTER,CAMBRIDGE,49,42.38819854,-71.11894317,1,Inner Core,1,Metropolitan Core Communities,Neighborhood Subway ,502.5756082,400.581918,2570921003,3195096171,114.6430264,63.303628,0.228111004,17.28088908,12.99598956,15.69858246,7.497028,0.03123626,0.222902977,0.22290319,0.769553339,5355,4234,0,0,41.08434786,0,0,681,543,1.050517902,78.3,0,8256,6163.14,0.231259,72077.36364,370.9907462,213.472312,0.738178973,1.929351417,1.59553486,8320.79647,6466.94,-82.76353,449.07,42,18,22.431501,270,139,44.00283273,22060.04376,60123.9,0,0,0,0.242747,0.557366,0.358442,-419.51624,372.71,16705.04376,12341.89125,14.81442761,19.43314347,0.038667104,0.628410339,0.738086,33874015.6,25749739.56,0.1129996,1.24325314,0.121439,0.002473763,0,0,0.904247308,20.52030085,Existing,1,90.6875,3,2,4,4,5,4,3,4,4,4,12,12,13,37,Transit-Supportive,12/16/2014 20:00,12/17/2014 20:00,"Red Line, Fitchburg/South Acton Line",0,0,312,157
7,HARVARD  STATION,CAMBRIDGE,49,42.37347231,-71.11881885,1,Inner Core,1,Metropolitan Core Communities,Metro Core,440.5757618,435.447943,6122623102,6122623102,297.2135219,190.545848,0.674602526,19.09867477,19.07812405,20.84049464,2.338173,0.047302862,0.908948943,0.908949011,0.886629044,22490,22448,0,0,70.7112592,0,0,1122,1152,1.004839088,31.0,0,5688,5688.4,0.443719,61618.85714,98.26027251,69.776523,0.223026959,0.940718507,0.866454806,6316.38597,6133.21,-128.85403,61.24,0,0,64.248677,20,20,96.06150962,40086.66672,77952.92,0.987780039,0.781808,0.002242021,0.561034,0.635558,0.276006,-883.62328,-1316.08,17596.66672,17596.66672,21.11374587,21.20856021,0.048138282,0.751341343,0.223144,38848049.53,38848049.53,0.076379664,0,0,0,23.27369273,0.052825631,0.553097444,11.60769247,Existing,1,87.93189966,5,5,5,5,4,4,5,5,4,5,14,20,13,47,Transit-Oriented,1/4/2015 20:00,1/5/2015 20:00,Red Line,0,0,20,20
8,CENTRAL STATION,CAMBRIDGE,49,42.36555612,-71.10403321,1,Inner Core,1,Metropolitan Core Communities,Neighborhood Subway ,502.5766551,488.460148,4878189274,5135973278,188.8317299,129.283562,0.375727221,31.03407397,30.44819015,14.30900274,3.966458,0.028471284,0.765270095,0.765270307,0.770116417,11551,11310,0,0,56.86205741,0,0,1157,1153,1.326393314,88.5,0,11496,10600.74,0.354651,61415.46154,299.1721183,206.887595,0.595276592,8.958339523,8.188576583,11344.28134,11280.57,122.71134,1406.1,67,67,37.896187,431,431,71.81231774,36078.59239,95198.57,0.088318176,0,0.000175731,0.320162,0.61977,0.278858,721.76239,1826.48,24527.59239,22530.89858,39.40203704,40.75981866,0.081101694,0.718369782,0.595636,51230943.19,49638308.18,0.069019343,0.175486009,0.163498,0.000349173,0,0,0.734983259,16.23724525,Existing,1,92.84848485,4,3,4,5,5,5,4,3,4,5,11,16,15,42,Transit-Oriented,5/2/2014 20:00,5/3/2014 20:00,Red Line,0,0,498,498
9,KENDALLMIT,CAMBRIDGE,49,42.36249079,-71.08617653,1,Inner Core,1,Metropolitan Core Communities,Metro Core,479.7083847,437.315194,6213278259,6401776209,315.6670139,210.359507,0.658039392,69.69745843,64.09977885,10.81131358,4.429577,0.022537262,1.981359381,1.98096021,0.730098412,46699,44951,0,0,143.0385911,0,0,787,740,1.168975075,16.2,0,2491,2057.68,0.407421,54435.16667,46.69737806,19.908064,0.097345345,3.7891309,2.579297955,2059.31787,2345.86,127.52787,931.99,626,626,44.451392,1429,1300,139.4442392,52037.20236,69941.59,0,0,0,0.897416,0.685447,0.252474,695.65236,1733.58,5338.20236,4437.29137,71.27009236,78.07800357,0.162761389,0.857707262,0.096574,62256957.16,59743751.2,0.063882131,2.953145237,2.060024,0.006156126,103.5795339,0.215921875,0.629779328,12.81730672,Existing,1,76.63082446,4,4,5,5,3,5,5,3,4,4,12,18,12,42,Transit-Oriented,3/8/2014 20:00,3/9/2014 20:00,Red Line,0,0,2055,1926
10,CHARLES MGH,BOSTON,35,42.36122901,-71.07135698,1,Inner Core,1,Metropolitan Core Communities,Metro Core,293.7661645,105.841648,3956941314,8404494108,174.5192956,25.272555,0.59407555,22.66800538,3.496002208,47.89406246,0.408993,0.163034645,1.22974788,0,0.828146317,17226,4343,1510.347418,1510.347418,77.45038404,0,0,1509,772,2.322685657,52.4,0,8516,3614.82,0.52319,70910.8,69.84541488,19.30538,0.237758542,0.482757402,0.277320607,7296.40773,3957.92,-1867.08227,16.51,0,0,110.000622,500,0,98.33341439,28738.80303,111662,0,0,0,0.599399,0.69937,0.181199,-3256.87697,-329.99,11512.80303,5705.24905,3.773322815,24.38051066,0.082981293,0.681562543,0.225763,72835302.23,31362756.24,0.029774132,0,0,0,1.507391547,0.005131263,0.508266629,12.08691837,Existing,1,74.12345685,5,2,5,5,5,5,4,5,5,4,15,16,14,45,Transit-Oriented,6/29/2014 20:00,6/30/2014 20:00,Red Line,1510,1510,500,0
